   5        0.00        0.00        0.00
  10        0.00        0.00        0.00
  15        0.00        0.00        0.00
  20        0.01        0.01        0.00
  25        0.03        0.01        0.00
  30        0.06        0.02        0.00
  35        0.11        0.04        0.01
  40        0.19        0.07        0.01
  45        0.30        0.12        0.02
  50        0.45        0.17        0.03
  55        0.65        0.25        0.04
  60        0.93        0.36        0.05
  65        1.28        0.49        0.08
  70        1.72        0.66        0.11
  75        2.27        0.87        0.13
  80        2.99        1.12        0.16
  85        3.86        1.43        0.22
  90        4.87        1.79        0.26
  95        6.07        2.23        0.31
 100        7.47        2.73        0.41
 105        9.05        3.32        0.47
 110       10.95        4.00        0.55
 115       13.06        4.84        0.70
 120       15.73        5.66        0.81
 125       18.23        6.66        0.93
 130       21.35        7.80        1.14
 135       24.77        9.06        1.29
 140       28.66       10.53        1.45
 145       32.96       12.09        1.77
 150       37.73       13.89        2.06
 155       43.05       15.87        2.19
 160       47.03       17.87        2.59
 165       54.07       20.22        2.86
 170       62.29       22.94        3.16
 175       69.45       25.65        3.48
 180       78.25       28.92        4.09
 185       84.43       32.31        4.46
 190       96.65       35.56        4.84
 195      107.51       39.43        5.57
 200      118.66       43.80        6.10
 205      125.94       48.97        6.56
 210      141.82       53.65        7.69
 215      152.89       58.17        8.08
 220      167.96       65.25        8.74
 225      183.60       70.85        9.92
 230      200.29       76.76       10.63
 235      218.45       83.46       11.45
 240      240.21       90.79       12.39
 245      260.15       98.03       13.76
 250      283.01      106.40       14.99
