#N	16	32
5	0.00	0.00
10	0.00	0.00
15	0.00	0.00
20	0.00	0.00
25	0.00	0.00
30	0.00	0.00
35	0.01	0.01
40	0.01	0.01
45	0.02	0.01
50	0.03	0.02
55	0.04	0.03
60	0.05	0.04
65	0.08	0.05
70	0.11	0.08
75	0.13	0.09
80	0.16	0.11
85	0.22	0.15
90	0.26	0.20
95	0.31	0.24
100	0.41	0.31
105	0.47	0.37
110	0.55	0.45
115	0.70	0.59
120	0.81	0.60
125	0.93	0.61
130	1.14	0.74
135	1.29	0.94
140	1.45	1.07
145	1.77	1.26
150	2.06	1.34
155	2.19	1.60
160	2.59	1.73
165	2.86	2.24
170	3.16	2.21
175	3.48	2.45
180	4.09	2.72
185	4.46	2.91
190	4.84	3.23
195	5.57	4.28
200	6.10	4.51
205	6.56	4.98
210	7.69	4.86
215	8.08	5.69
220	8.74	5.90
225	9.92	6.62
230	10.63	7.42
235	11.45	8.10
240	12.39	9.21
245	13.76	9.32
250	14.99	9.85
