   5        0.00        0.00        0.00
  10        0.00        0.00        0.00
  15        0.00        0.00        0.00
  20        0.01        0.00        0.00
  25        0.03        0.01        0.00
  30        0.06        0.02        0.00
  35        0.11        0.04        0.01
  40        0.19        0.07        0.01
  45        0.30        0.12        0.01
  50        0.46        0.17        0.02
  55        0.65        0.25        0.03
  60        0.92        0.35        0.04
  65        1.28        0.50        0.05
  70        1.75        0.67        0.08
  75        2.33        0.89        0.09
  80        3.06        1.15        0.11
  85        3.95        1.46        0.15
  90        4.98        1.83        0.20
  95        6.19        2.28        0.24
 100        7.55        2.78        0.31
 105        9.19        3.37        0.37
 110       11.08        3.99        0.45
 115       13.03        4.88        0.59
 120       15.81        5.77        0.60
 125       18.64        6.79        0.61
 130       21.78        7.92        0.74
 135       25.23        9.24        0.94
 140       29.25       10.69        1.07
 145       33.71       12.23        1.26
 150       38.41       14.04        1.34
 155       43.79       16.05        1.60
 160       47.83       18.13        1.73
 165       55.10       20.49        2.24
 170       62.87       23.19        2.21
 175       70.62       25.98        2.45
 180       79.53       28.97        2.72
 185       87.47       32.27        2.91
 190       98.09       35.83        3.23
 195      109.67       40.08        4.28
 200      120.90       44.38        4.51
 205      129.96       49.01        4.98
 210      145.04       53.53        4.86
 215      158.95       58.89        5.69
 220      174.83       64.10        5.90
 225      184.81       69.71        6.62
 230      201.79       77.39        7.42
 235      221.57       84.37        8.10
 240      241.28       91.74        9.21
 245      261.61       99.77        9.32
 250      284.77      108.07        9.85
